mem: 94896371403757, value: 0
mem: 94896371403756, value: 0
mem: 94896371403755, value: 0
mem: 94896371403754, value: 0
mem: 94896371403753, value: 0
mem: 94896371403752, value: 0
mem: 94896371403751, value: 0
mem: 94896371403750, value: 0
mem: 94896371403749, value: 0
mem: 94896371403748, value: 0
mem: 94896371403747, value: 0
mem: 94896371403746, value: 0
mem: 94896371403745, value: 0
mem: 94896371403744, value: 0
mem: 94896371403743, value: 0
mem: 94896371403742, value: 0
mem: 94896371403741, value: 0
mem: 94896371403740, value: 0
mem: 94896371403739, value: 0
mem: 94896371403738, value: 0
mem: 94896371403737, value: 0
mem: 94896371403736, value: 0
mem: 94896371403735, value: 0
mem: 94896371403734, value: 0
mem: 94896371403733, value: 0
mem: 94896371403732, value: 0
mem: 94896371403731, value: 0
mem: 94896371403730, value: 0
mem: 94896371403729, value: 0
mem: 94896371403728, value: 0
mem: 94896371403727, value: 0
mem: 94896371403726, value: 0
mem: 94896371403725, value: 0
mem: 94896371403724, value: 0
mem: 94896371403723, value: 0
mem: 94896371403722, value: 0
mem: 94896371403721, value: 0
mem: 94896371403720, value: 0
mem: 94896371403719, value: 0
mem: 94896371403718, value: 0
mem: 94896371403717, value: 0
mem: 94896371403716, value: 0
mem: 94896371403715, value: 0
mem: 94896371403714, value: 0
mem: 94896371403713, value: 0
mem: 94896371403712, value: 0
mem: 94896371403711, value: 0
mem: 94896371403710, value: 0
mem: 94896371403709, value: 0
mem: 94896371403708, value: 0
mem: 94896371403707, value: 0
mem: 94896371403706, value: 0
mem: 94896371403705, value: 0
mem: 94896371403704, value: 0
mem: 94896371403703, value: 0
mem: 94896371403702, value: 0
mem: 94896371403701, value: 0
mem: 94896371403700, value: 0
mem: 94896371403699, value: 0
mem: 94896371403698, value: 0
mem: 94896371403697, value: 0
mem: 94896371403696, value: 0
mem: 94896371403695, value: 0
mem: 94896371403694, value: 0
mem: 94896371403693, value: 0
mem: 94896371403692, value: 0
mem: 94896371403691, value: 0
mem: 94896371403690, value: 0
mem: 94896371403689, value: 0
mem: 94896371403688, value: 0
mem: 94896371403687, value: 0
mem: 94896371403686, value: 0
mem: 94896371403685, value: 0
mem: 94896371403684, value: 0
mem: 94896371403683, value: 0
mem: 94896371403682, value: 0
mem: 94896371403681, value: 0
mem: 94896371403680, value: 0
mem: 94896371403679, value: 0
mem: 94896371403678, value: 0
mem: 94896371403677, value: 0
mem: 94896371403676, value: 0
